encodedTitle,title,url
royal-caribbean-cruises-ltd,ROYAL CARIBBEAN CRUISES LTD.,IID000000002140186
royal-dutch-shell-plc,ROYAL DUTCH SHELL PLC,IID000000002137074
the-royal-bank-of-scotland-group-public-limited-company,THE ROYAL BANK OF SCOTLAND GROUP PUBLIC LIMITED COMPANY,IID000000002181756
prairiesky-royalty-ltd,PRAIRIESKY ROYALTY LTD.,IID000000002695140
banque-royale-du-canada,BANQUE ROYALE DU CANADA,IID000000002128874
hithink-royalflush-information-network-co-ltd,"Hithink RoyalFlush Information Network Co., Ltd.",IID000000002573115
bp-plc,BP P.L.C.,IID000000002140371
aker-bp-asa,AKER BP ASA,IID000000002278140
bank-of-the-philippine-islands,BANK OF THE PHILIPPINE ISLANDS,IID000000002159090
bharat-petroleum-corporation-limited,BHARAT PETROLEUM CORPORATION LIMITED,IID000000002159590
banco-btg-pactual-sa,BANCO BTG PACTUAL S.A.,IID000000002228171
volkswagen-ag,Volkswagen AG,IID000000002140440
glencore-plc,GLENCORE PLC,IID000000002619434
daimler-ag,Daimler AG,IID000000002163566
total-sa,TOTAL SA,IID000000002145155
total-access-communication-public-company-limited,Total Access Communication Public Company Limited,IID000000002187119
exor-nv,EXOR N.V.,IID000000002784170
bayerische-motoren-werke-aktiengesellschaft,Bayerische Motoren Werke Aktiengesellschaft,IID000000002148933
uniper-se,Uniper SE,IID000000002769077
siemens-limited,SIEMENS LIMITED,IID000000002183692
siemens-aktiengesellschaft,Siemens Aktiengesellschaft,IID000000002183691
siemens-healthineers-ag,Siemens Healthineers AG,IID000000002832990
siemens-gamesa-renewable-energy-sa,"Siemens Gamesa Renewable Energy, S.A.",IID000000002151494
deutsche-bank-aktiengesellschaft,DEUTSCHE BANK AKTIENGESELLSCHAFT,IID000000002140460
deutsche-post-ag,Deutsche Post AG,IID000000002163947
deutsche-boerse-aktiengesellschaft,Deutsche Boerse Aktiengesellschaft,IID000000002163944
deutsche-wohnen-se,Deutsche Wohnen SE,IID000000002816597
deutsche-telekom-ag,Deutsche Telekom AG,IID000000002163952
deutsche-lufthansa-aktiengesellschaft,Deutsche Lufthansa Aktiengesellschaft,IID000000002130215
carrefour-sa,CARREFOUR SA,IID000000002124089
enel-spa,ENEL - SPA,IID000000002151160
enel-americas-sa,Enel Americas S.A.,IID000000002152389
enel-chile-sa,Enel Chile S.A.,IID000000002763836
eni-spa,ENI S.P.A.,IID000000002164704
square-enix-holdings-co-ltd,"SQUARE ENIX HOLDINGS CO.,LTD.",IID000000002182288
electricite-de-france-sa,ELECTRICITE DE FRANCE SA,IID000000002142489
tesco-plc,TESCO PLC,IID000000002153923
peugeot-sa,PEUGEOT SA,IID000000002152064
engie-sa,ENGIE S.A.,IID000000002167497
engie-brasil-energia-sa,ENGIE BRASIL ENERGIA S.A.,IID000000002129944
airbus-se,Airbus SE,IID000000002125950
basf-se,BASF SE,IID000000002158653
deutsche-bank-aktiengesellschaft,DEUTSCHE BANK AKTIENGESELLSCHAFT,IID000000002140460
deutsche-post-ag,Deutsche Post AG,IID000000002163947
deutsche-boerse-aktiengesellschaft,Deutsche Boerse Aktiengesellschaft,IID000000002163944
deutsche-wohnen-se,Deutsche Wohnen SE,IID000000002816597
deutsche-telekom-ag,Deutsche Telekom AG,IID000000002163952
deutsche-lufthansa-aktiengesellschaft,Deutsche Lufthansa Aktiengesellschaft,IID000000002130215
koninklijke-philips-nv,Koninklijke Philips N.V.,IID000000002144603
koninklijke-vopak-nv,Koninklijke Vopak N.V.,IID000000002172940
koninklijke-kpn-nv,Koninklijke KPN N.V.,IID000000002172937
koninklijke-dsm-nv,Koninklijke DSM N.V.,IID000000002144233
koninklijke-ahold-delhaize-nv,Koninklijke Ahold Delhaize N.V.,IID000000002172935
renault-sa,RENAULT SA,IID000000002137084
arcelormittal-sa,ArcelorMittal S.A.,IID000000002157753
lvmh-moet-hennessy-louis-vuitton-se,LVMH MOET HENNESSY LOUIS VUITTON SE,IID000000002173360
roche-holding-ag,Roche Holding AG,IID000000002181589
equinor-asa,EQUINOR ASA,IID000000002184880
unilever-plc,UNILEVER PLC,IID000000002137159
unilever-nv,Unilever N.V.,IID000000002187964
hindustan-unilever-limited,HINDUSTAN UNILEVER LIMITED,IID000000002169388
pt-unilever-indonesia-tbk,PT Unilever Indonesia Tbk,IID000000002127132
repsol-sa,Repsol S.A.,IID000000002181334
unilever-plc,UNILEVER PLC,IID000000002137159
unilever-nv,Unilever N.V.,IID000000002187964
hindustan-unilever-limited,HINDUSTAN UNILEVER LIMITED,IID000000002169388
pt-unilever-indonesia-tbk,PT Unilever Indonesia Tbk,IID000000002127132
telefonica-sa,Telefonica S.A.,IID000000002186444
telefonica-brasil-sa,TELEFONICA BRASIL S.A.,IID000000002186431
telefonica-deutschland-holding-ag,Telefonica Deutschland Holding AG,IID000000002654293
novartis-ag,Novartis AG,IID000000002144457
continental-resources-inc,"CONTINENTAL RESOURCES, INC.",IID000000002162852
continental-aktiengesellschaft,Continental Aktiengesellschaft,IID000000002148934
arca-continental-sab-de-cv,"Arca Continental, S.A.B. de C.V.",IID000000002125981
rwe-aktiengesellschaft,RWE Aktiengesellschaft,IID000000002180858
bayer-aktiengesellschaft,Bayer Aktiengesellschaft,IID000000002123944
bayerische-motoren-werke-aktiengesellschaft,Bayerische Motoren Werke Aktiengesellschaft,IID000000002148933
vinci-sa,VINCI S.A.,IID000000002188881
vodafone-group-public-limited-company,VODAFONE GROUP PUBLIC LIMITED COMPANY,IID000000002189051
casino-guichard-perrachon-sa,CASINO GUICHARD-PERRACHON S.A.,IID000000002149002
thyssenkrupp-ag,thyssenkrupp AG,IID000000002186840
orange-sa,ORANGE S.A.,IID000000002133302
orange-polska-spolka-akcyjna,ORANGE POLSKA SPOLKA AKCYJNA,IID000000002186456
orange-life-insurance-ltd,"Orange Life Insurance, Ltd.",IID000000002392573
