,AVERAGE,ESG LAGGARD,ESG LEADER,country,date,industry,percent_rating,rating,rating_history
IID000000002123744,"Corporate Governance,Opportunities in Clean Tech",Labor Management,"Corruption & Instability,Toxic Emissions & Waste",Switzerland,"Mar-15,Mar-16,Apr-17,Apr-18,Oct-19",Electrical Equipment,"6%,21%,33%,12%,15%,6%,6%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002123767,"Supply Chain Labor Standards,Opportunities in Nutrition & Health,Raw Material Sourcing",Product Safety & Quality,"Corporate Governance,Water Stress,Product Carbon Footprint",United Kingdom,"Nov-15,Dec-16,Dec-17,Dec-18,Dec-19",Food Products,"11%,21%,23%,21%,10%,9%,4%","CCC,B,BB,BBB,A,AA,AAA","A,A,AA,AA,AA"
IID000000002123771,"Privacy & Data Security,Labor Management,Carbon Emissions",nan,"Corporate Governance,Corruption & Instability,Access to Communication",United Kingdom,"Feb-17,Feb-18,Mar-19",Telecommunication Services,"2%,9%,22%,16%,28%,14%,9%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA"
IID000000002123931,"Toxic Emissions & Waste,Corruption & Instability,Health & Safety,Labor Management,Water Stress",nan,"Corporate Governance,Biodiversity & Land Use,Carbon Emissions",United Kingdom,"Nov-15,Dec-16,Dec-17,Nov-18,Jun-19",Metals and Mining - Non-Precious Metals,"16%,26%,22%,12%,19%,3%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002123944,"Corporate Governance,Human Capital Development,Toxic Emissions & Waste","Product Safety & Quality,Chemical Safety","Corruption & Instability,Access to Health Care",Germany,"Oct-17,Jun-18,Sep-18,Dec-18,May-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BB"
IID000000002123948,nan,"Product Safety & Quality,Raw Material Sourcing","Corporate Governance,Health & Safety",United Kingdom,"May-15,Jun-16,Jun-17,Jun-18,Sep-19",Trading Companies & Distributors,"5%,5%,10%,40%,25%,10%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,A,A"
IID000000002123955,"Human Capital Development,Supply Chain Labor Standards",Opportunities in Clean Tech,"Corporate Governance,Controversial Sourcing",Finland,"Aug-15,Aug-16,Aug-17,Sep-18,Nov-19","Technology Hardware, Storage & Peripherals","9%,20%,9%,30%,22%,9%,0%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002123961,"Biodiversity & Land Use,Labor Management,Toxic Emissions & Waste,Raw Material Sourcing",Water Stress,"Corporate Governance,Carbon Emissions",Finland,"Jul-15,Jul-16,Jul-17,Aug-18,Jul-19",Paper & Forest Products,"21%,7%,21%,14%,14%,7%,14%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002124154,"Corporate Governance,Opportunities in Clean Tech,Chemical Safety,Controversial Sourcing",nan,Labor Management,Sweden,"Apr-15,Apr-16,Apr-17,Jun-18,Aug-19","Electronic Equipment, Instruments & Components","8%,28%,16%,19%,20%,8%,1%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002125284,"Product Safety & Quality,Packaging Material & Waste",nan,"Corporate Governance,Water Stress,Health & Safety,Product Carbon Footprint",United Kingdom,"Jun-15,Jul-16,Jul-17,Jul-18,Dec-19",Beverages,"6%,25%,15%,10%,21%,17%,6%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
